W	X	Y	Z	D	stderr	Zscore	BABA	ABBA	nsnps	timescale	parameters	stat	ds	select	rep
Afr	AMH1	Vindija	outgroup	0.0141	0.013442	1.046	1498	1456	99564	medium	pseudohaploid	dstat	100000	all	1
Afr	admix	Vindija	outgroup	-0.1139	0.013892	-8.2	1425	1791	99552	medium	pseudohaploid	dstat	100000	all	2
Afr	AMH1	Vindija	outgroup	-0.0116	0.013048	-0.888	1482	1517	99552	medium	pseudohaploid	dstat	100000	all	2
Afr	admix	Vindija	outgroup	-0.1243	0.013369	-9.295	1406	1805	99553	medium	pseudohaploid	dstat	100000	all	3
Afr	AMH1	Vindija	outgroup	-0.0066	0.012935	-0.51	1471	1491	99553	medium	pseudohaploid	dstat	100000	all	3
Afr	admix	Vindija	outgroup	-0.1067	0.014299	-7.46	1423	1763	99530	medium	pseudohaploid	dstat	100000	all	4
Afr	AMH1	Vindija	outgroup	0.0108	0.014038	0.767	1492	1460	99530	medium	pseudohaploid	dstat	100000	all	4
Afr	admix	Vindija	outgroup	-0.1454	0.014414	-10.086	1390	1863	99582	medium	pseudohaploid	dstat	100000	all	5
Afr	AMH1	Vindija	outgroup	-0.0125	0.013531	-0.922	1493	1531	99582	medium	pseudohaploid	dstat	100000	all	5
Afr	admix	Vindija	outgroup	-0.1217	0.013603	-8.944	1453	1855	99570	medium	pseudohaploid	dstat	100000	all	6
Afr	AMH1	Vindija	outgroup	0.011	0.013321	0.822	1549	1515	99570	medium	pseudohaploid	dstat	100000	all	6
Afr	admix	Vindija	outgroup	-0.1139	0.013749	-8.285	1419	1784	99559	medium	pseudohaploid	dstat	100000	all	7
Afr	AMH1	Vindija	outgroup	0.0108	0.013499	0.798	1487	1455	99559	medium	pseudohaploid	dstat	100000	all	7
Afr	admix	Vindija	outgroup	-0.1159	0.014542	-7.968	1438	1815	99550	medium	pseudohaploid	dstat	100000	all	8
Afr	AMH1	Vindija	outgroup	-0.0216	0.01412	-1.533	1487	1553	99550	medium	pseudohaploid	dstat	100000	all	8
Afr	admix	Vindija	outgroup	-0.1181	0.014305	-8.256	1437	1822	99544	medium	pseudohaploid	dstat	100000	all	9
Afr	AMH1	Vindija	outgroup	4e-04	0.013614	0.029	1502	1501	99544	medium	pseudohaploid	dstat	100000	all	9
